AcceptChangedOptionWarnings	0x004DCF20
Sound_GameSystem_GetNumInputDrivers	0x00985BB0
Sound_GameSystem_GetNumOutputDrivers	0x00985C70
Sound_GameSystem_GetOutputDriverNameByIndex	0x00985CA0
Sound_GameSystem_RestartSoundSystem	0x00985D30
SpellHasRange	0x00541AF0
StatusDialogClick	0x004DC500
StopAllSFX	0x004DD380
StopGlueAmbience	0x004DC130
StopGlueMusic	0x004DC1A0
StopMusic	0x00985A10
SummonRandomCritter	0x0053E7E0
SurveyNotificationDone	0x004DCCC0
TOSAccepted	0x004DD6C0
TerminationWithoutNoticeAccepted	0x004DD7C0
ToggleSpellAutocast	0x005410E0
TokenEntered	0x004DC4D0
UnSilenceMember	0x0052DAF0
UpdateSpells	0x0053DD10
VoiceChat_ActivatePrimaryCaptureCallback	0x00985E90
VoiceChat_GetCurrentMicrophoneSignalLevel	0x00985E60
VoiceChat_IsPlayingLoopbackSound	0x00985E30
VoiceChat_IsRecordingLoopbackSound	0x00985E00
VoiceChat_PlayLoopbackSound	0x00985DE0
VoiceChat_RecordLoopbackSound	0x00985D60
VoiceChat_StartCapture	0x00985EF0
VoiceChat_StopCapture	0x00985D50
VoiceChat_StopPlayingLoopbackSound	0x00985DF0
VoiceChat_StopRecordingLoopbackSound	0x00985DD0
bad allocation	0x00AA3358
